Name,NACA 0018
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.189000
95.000000,1.210000
90.000000,2.172000
80.000000,3.935000
70.000000,5.496000
60.000000,6.845000
50.000000,7.941000
40.000000,8.705000
30.000000,9.003000
25.000000,8.912000
20.000000,8.606000
15.000000,8.018000
10.000000,7.024000
7.500000,6.300000
5.000000,5.332000
2.500000,3.922000
1.250000,2.841000
0.000000,0.000000
1.250000,-2.841000
2.500000,-3.922000
5.000000,-5.332000
7.500000,-6.300000
10.000000,-7.024000
15.000000,-8.018000
20.000000,-8.606000
25.000000,-8.912000
30.000000,-9.003000
40.000000,-8.705000
50.000000,-7.941000
60.000000,-6.845000
70.000000,-5.496000
80.000000,-3.935000
90.000000,-2.172000
95.000000,-1.210000
100.000000,-0.189000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.250000,0.000000
2.500000,0.000000
5.000000,0.000000
7.500000,0.000000
10.000000,0.000000
15.000000,0.000000
20.000000,0.000000
25.000000,0.000000
30.000000,0.000000
40.000000,0.000000
50.000000,0.000000
60.000000,0.000000
70.000000,0.000000
80.000000,0.000000
90.000000,0.000000
95.000000,0.000000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
