Name,NACA 2410
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.105000
95.041000,0.990000
90.067000,1.816000
80.097000,3.296000
70.102000,4.551000
60.085000,5.580000
50.049000,6.356000
40.000000,6.837000
29.875000,6.875000
24.814000,6.668000
19.761000,6.276000
14.722000,5.665000
9.710000,4.766000
7.217000,4.169000
4.742000,3.420000
2.297000,2.411000
1.098000,1.694000
0.000000,0.000000
1.402000,-1.448000
2.703000,-1.927000
5.258000,-2.482000
7.783000,-2.809000
10.290000,-3.016000
15.278000,-3.227000
20.239000,-3.276000
25.186000,-3.230000
30.125000,-3.125000
40.000000,-2.837000
49.951000,-2.468000
59.915000,-2.024000
69.898000,-1.551000
79.903000,-1.074000
89.933000,-0.594000
94.959000,-0.352000
100.000000,-0.105000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.098000,0.847000
2.297000,0.316740
4.742000,0.525043
7.217000,0.716650
9.710000,0.898945
14.722000,1.230760
19.761000,1.502361
24.814000,1.717270
29.875000,1.872343
40.000000,2.000000
50.049000,1.946183
60.085000,1.782027
70.102000,1.504863
80.097000,1.115642
90.067000,0.614226
95.041000,0.321009
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
