Name,NACA 1412
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.126000
95.025000,0.966000
90.040000,1.753000
80.058000,3.178000
70.061000,4.413000
60.051000,5.453000
50.029000,6.267000
40.000000,6.803000
29.925000,6.940000
24.889000,6.799000
19.857000,6.486000
14.833000,5.951000
9.824000,5.118000
7.330000,4.537000
4.845000,3.786000
2.378000,2.733000
1.158000,1.954000
0.000000,0.000000
1.342000,-1.830000
2.622000,-2.491000
5.155000,-3.318000
7.670000,-3.857000
10.176000,-4.242000
15.167000,-4.733000
20.143000,-4.986000
25.111000,-5.081000
30.075000,-5.064000
40.000000,-4.803000
49.971000,-4.321000
59.949000,-3.675000
69.939000,-2.913000
79.942000,-2.066000
89.960000,-1.141000
94.975000,-0.646000
100.000000,-0.126000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.158000,0.977000
2.378000,0.184002
4.845000,0.284606
7.330000,0.376433
9.824000,0.465039
14.833000,0.625429
19.857000,0.757271
24.889000,0.861123
29.925000,0.937743
40.000000,1.000000
50.029000,0.974878
60.051000,0.892890
70.061000,0.755165
80.058000,0.561355
90.040000,0.309948
95.025000,0.162587
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
