Name,NACA 2415
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.160000
95.000000,1.340000
90.000000,2.450000
80.000000,4.410000
70.000000,6.100000
60.000000,7.500000
50.000000,8.570000
40.000000,9.250000
30.000000,9.380000
25.000000,9.170000
20.000000,8.700000
15.000000,7.970000
10.000000,6.830000
7.500000,6.060000
5.000000,5.070000
2.500000,3.710000
1.250000,2.710000
0.000000,0.000000
1.250000,-2.060000
2.500000,-2.860000
5.000000,-3.840000
7.500000,-4.470000
10.000000,-4.900000
15.000000,-5.420000
20.000000,-5.660000
25.000000,-5.700000
30.000000,-5.620000
40.000000,-5.250000
50.000000,-4.670000
60.000000,-3.900000
70.000000,-3.050000
80.000000,-2.150000
90.000000,-1.170000
95.000000,-0.680000
100.000000,-0.160000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.250000,0.325000
2.500000,0.425000
5.000000,0.615000
7.500000,0.795000
10.000000,0.965000
15.000000,1.275000
20.000000,1.520000
25.000000,1.735000
30.000000,1.880000
40.000000,2.000000
50.000000,1.950000
60.000000,1.800000
70.000000,1.525000
80.000000,1.130000
90.000000,0.640000
95.000000,0.330000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
