Name,NACA 2418
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.190000
95.000000,1.550000
90.000000,2.810000
80.000000,5.080000
70.000000,7.020000
60.000000,8.650000
50.000000,9.890000
40.000000,10.710000
30.000000,10.880000
25.000000,10.650000
20.000000,10.150000
15.000000,9.340000
10.000000,8.050000
7.500000,7.170000
5.000000,6.030000
2.500000,4.450000
1.250000,3.280000
0.000000,0.000000
1.250000,-2.450000
2.500000,-3.440000
5.000000,-4.680000
7.500000,-5.480000
10.000000,-6.030000
15.000000,-6.740000
20.000000,-7.090000
25.000000,-7.180000
30.000000,-7.120000
40.000000,-6.710000
50.000000,-5.990000
60.000000,-5.040000
70.000000,-3.970000
80.000000,-2.800000
90.000000,-1.530000
95.000000,-0.870000
100.000000,-0.190000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.250000,0.415000
2.500000,0.505000
5.000000,0.675000
7.500000,0.845000
10.000000,1.010000
15.000000,1.300000
20.000000,1.530000
25.000000,1.735000
30.000000,1.880000
40.000000,2.000000
50.000000,1.950000
60.000000,1.805000
70.000000,1.525000
80.000000,1.140000
90.000000,0.640000
95.000000,0.340000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
