Name,NACA 2424
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
95.098000,1.930000
90.161000,3.502000
80.233000,6.352000
70.244000,8.824000
60.203000,10.903000
50.118000,12.532000
40.000000,13.606000
29.700000,13.874000
24.555000,13.593000
19.427000,12.959000
14.333000,11.888000
9.300000,10.215000
6.820000,9.052000
4.380000,7.552000
2.012000,5.449000
0.855000,3.892000
0.000000,0.000000
1.615000,-3.646000
2.988000,-4.965000
5.620000,-6.614000
8.180000,-7.692000
10.700000,-8.465000
15.667000,-9.450000
20.573000,-9.959000
25.445000,-10.155000
30.300000,-10.124000
40.000000,-9.606000
49.882000,-8.644000
59.797000,-7.347000
69.756000,-5.824000
79.767000,-4.130000
89.839000,-2.280000
94.902000,-1.292000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.855000,1.946000
2.012000,0.710807
4.380000,0.857442
6.820000,0.966344
9.300000,1.089722
14.333000,1.351272
19.427000,1.559449
24.555000,1.736902
29.700000,1.873084
40.000000,2.000000
50.118000,1.959436
60.203000,1.809044
70.244000,1.541288
80.233000,1.153797
90.161000,0.642418
95.098000,0.343836
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
