Name,NACA 2421
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.220000
95.000000,1.760000
90.000000,3.180000
80.000000,5.740000
70.000000,7.940000
60.000000,9.790000
50.000000,11.220000
40.000000,12.160000
30.000000,12.380000
25.000000,12.150000
20.000000,11.590000
15.000000,10.700000
10.000000,9.280000
7.500000,8.290000
5.000000,7.000000
2.500000,5.210000
1.250000,3.870000
0.000000,0.000000
1.250000,-2.820000
2.500000,-4.020000
5.000000,-5.510000
7.500000,-6.480000
10.000000,-7.180000
15.000000,-8.050000
20.000000,-8.520000
25.000000,-8.670000
30.000000,-8.620000
40.000000,-8.160000
50.000000,-7.310000
60.000000,-6.170000
70.000000,-4.870000
80.000000,-3.440000
90.000000,-1.880000
95.000000,-1.060000
100.000000,-0.220000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.250000,0.525000
2.500000,0.595000
5.000000,0.745000
7.500000,0.905000
10.000000,1.050000
15.000000,1.325000
20.000000,1.535000
25.000000,1.740000
30.000000,1.880000
40.000000,2.000000
50.000000,1.955000
60.000000,1.810000
70.000000,1.535000
80.000000,1.150000
90.000000,0.650000
95.000000,0.350000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
